pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,gameNumber,server_changed,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
40-15,1-0,0-0,,328380,1.0,328380.0,10,,10,Ad,Roger Pascual Ferra,Near,,,,,,,,,,108.2911636,590.2820811,Down the Line,Backhand,,,,,,,,,,48.70167323,144.6249836,,,,1.0,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,1.0,,,2,False,,Emon van Loben Sels,Emon van Loben Sels,,,,Roger Pascual Ferra,1,,,
0-0,1-1,0-0,1.0,370869,1.0,370869.0,11,,1,Deuce,Emon van Loben Sels,Far,1.0,Wide,130.6099792,-153.7260171,,,,,1,-8.475634296,444.2957185,,,,,,,,,,,,,,1.0,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,1.0,,3,True,,Roger Pascual Ferra,Emon van Loben Sels,,,,Emon van Loben Sels,,1st Serve In,Wide,
0-15,1-1,0-0,1.0,390869,1.0,390869.0,12,,1,Ad,Emon van Loben Sels,Far,1.0,T,-32.50066164,-238.2866634,,,,,1,38.06418416,451.1667268,,,,,,,,,,,,,,1.0,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,1.0,,3,False,,Roger Pascual Ferra,Emon van Loben Sels,,,,Emon van Loben Sels,,1st Serve In,T,
0-30,1-1,0-0,1.0,416670,,,13,,1,Deuce,Emon van Loben Sels,Far,,,,,1.0,Body,94.46715879,-225.2503007,,-10.72315179,458.6510772,,,,,,,,,,,,,,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,1.0,,3,False,,Roger Pascual Ferra,Emon van Loben Sels,,,,,,2nd Serve In,Body,
0-30,1-1,0-0,,417399,,,13,,2,Deuce,Emon van Loben Sels,Far,,,,,,,,,,101.5436734,-421.4031769,Crosscourt,Backhand,,,,,,,,,,-13.15925744,170.7968613,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,1.0,,3,False,,Roger Pascual Ferra,Roger Pascual Ferra,,,,,,,,Short
0-30,1-1,0-0,,418679,1.0,418679.0,13,,3,Deuce,Emon van Loben Sels,Far,,,,,,,,,,-13.15925744,217.0649934,Crosscourt,,,1.0,,,,,1,,,123.7617071,-248.867033,1.0,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,1.0,,3,False,,Roger Pascual Ferra,Emon van Loben Sels,,,,Emon van Loben Sels,,,,Short
0-40,1-1,0-0,1.0,434100,,,14,1.0,1,Ad,Emon van Loben Sels,Far,1.0,Wide,-153.9745844,-178.2997758,0.0,T,-32.50066164,-267.2866634,,38.06418416,451.1667268,,,1.0,,,,,,,,,,,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,,,3,False,,Roger Pascual Ferra,Emon van Loben Sels,,,,,,1st Serve In,Wide,
0-40,1-1,0-0,,447299,,,14,1.0,2,Ad,Emon van Loben Sels,Far,,,,,,,,,,-36.27276903,-427.480561,Crosscourt,Backhand,1.0,,,,,,,,,69.09862752,92.49825569,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,,,3,False,,Roger Pascual Ferra,Roger Pascual Ferra,1.0,,,,,,,Short
0-40,1-1,0-0,,449130,1.0,449130.0,14,1.0,3,Ad,Emon van Loben Sels,Far,,,,,,,,,,98.68935914,439.569953,Down the Line,Backhand,,,,,,,,,,149.4616743,-276.7078029,1.0,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,1.0,,,3,False,,Roger Pascual Ferra,Emon van Loben Sels,,,,Emon van Loben Sels,,,,Short
0-0,1-2,0-0,1.0,544530,,,15,,1,Deuce,Roger Pascual Ferra,Far,0.0,Wide,164.5873852,-204.8782644,1.0,Body,64.9962325,-223.8865103,,-31.56778762,459.7677931,,,1.0,,,,,,,,,,,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,,,4,True,,Emon van Loben Sels,Roger Pascual Ferra,,,,,,2nd Serve In,Body,
