Name,pointNumber,setNum,gameNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,Position,pointEndPosition,Duration,pointWonBy,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,isBreakPoint,atNetPlayer1,atNetPlayer2,isExcitingPoint,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,clientTeam,opponentTeam
"Set 2: 4-1, 0-0 Jo-Yee Chan Serving",74,2,6,Elise Wagle,Jo-Yee Chan,0-0,4-1,1-0,,Deuce,Jo-Yee Chan,Elise Wagle,3728069.0,,,Jo-Yee Chan,7,5 - 8,1,0,1st Serve In,Wide,Wide,,False,Far,130.0,-223.0,,,Down the Line,Forehand,,,Crosscourt,Forehand,Jo-Yee Chan,Winner,False,,,,1,0,4,1,0,0,,,,,Down the Line,Forehand,,,,1st Serve In,Deuce: Wide,,,Crosscourt,Forehand,Winner,UCLA,Oregon
"Set 2: 4-1, 0-15 Jo-Yee Chan Serving",75,2,6,Elise Wagle,Jo-Yee Chan,0-15,4-1,1-0,,Ad,Jo-Yee Chan,Elise Wagle,3761314.0,,,Jo-Yee Chan,2,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Far,-131.0,-207.0,,,Crosscourt,Backhand,Wide Right,Wide Right,Crosscourt,Backhand,Elise Wagle,Error,False,,,,1,0,4,1,0,15,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,1st Serve In,Ad: Wide,,,,,,UCLA,Oregon
"Set 2: 4-1, 0-30 Jo-Yee Chan Serving",76,2,6,Elise Wagle,Jo-Yee Chan,0-30,4-1,1-0,,Deuce,Jo-Yee Chan,Elise Wagle,3781573.0,,,Jo-Yee Chan,3,1 - 4,1,0,1st Serve In,T,T,,False,Far,40.0,-204.0,,,Crosscourt,Backhand,,,Down the Line,Forehand,Jo-Yee Chan,Winner,False,,,,1,0,4,1,0,30,,,,,Crosscourt,Backhand,,,,1st Serve In,Deuce: T,,,Down the Line,Forehand,Winner,UCLA,Oregon
"Set 2: 4-1, 0-40 Jo-Yee Chan Serving",77,2,6,Elise Wagle,Jo-Yee Chan,0-40,4-1,1-0,,Ad,Jo-Yee Chan,Elise Wagle,3804189.0,,,Elise Wagle,4,1 - 4,1,0,1st Serve In,Body,Body,,False,Far,-85.0,-194.0,,,Down the Line,Backhand,,,Down the Line,Forehand,Elise Wagle,Winner,True,,,,1,0,4,1,0,40,,,,,Down the Line,Backhand,Down the Line,Forehand,Winner,1st Serve In,Ad: Body,,,,,,UCLA,Oregon
"Set 2: 4-1, 15-40 Jo-Yee Chan Serving",78,2,6,Elise Wagle,Jo-Yee Chan,15-40,4-1,1-0,,Deuce,Jo-Yee Chan,Elise Wagle,3829544.0,,,Elise Wagle,8,5 - 8,0,1,2nd Serve In,Wide,Wide,Wide,False,Far,106.0,-260.0,133.0,-233.0,Down the Line,Forehand,,,Down the Line,Backhand,Elise Wagle,Winner,True,,Jo-Yee Chan,,1,0,4,1,15,40,,,,,Down the Line,Forehand,Down the Line,Backhand,Winner,2nd Serve In,Deuce: Wide,,,,,,UCLA,Oregon
"Set 2: 4-1, 30-40 Jo-Yee Chan Serving",79,2,6,Elise Wagle,Jo-Yee Chan,30-40,4-1,1-0,,Ad,Jo-Yee Chan,Elise Wagle,3899046.0,,,Elise Wagle,18,13 +,0,1,2nd Serve In,Body,Body,Body,False,Far,-61.0,4.0,-64.0,-203.0,Crosscourt,Forehand,,,Down the Line,Forehand,Elise Wagle,Winner,True,Elise Wagle,,,1,0,4,1,30,40,,,,,Crosscourt,Forehand,Down the Line,Forehand,Winner,2nd Serve In,Ad: Body,,,,,,UCLA,Oregon
"Set 2: 4-1, 40-40 Jo-Yee Chan Serving",80,2,6,Elise Wagle,Jo-Yee Chan,40-40,4-1,1-0,,Ad,Jo-Yee Chan,Elise Wagle,3961139.0,,,Jo-Yee Chan,4,1 - 4,0,1,2nd Serve In,Body,Body,Body,False,Far,-80.0,4.0,-64.0,-131.0,Down the Line,Backhand,Net,,Down the Line,Backhand,Elise Wagle,Error,True,,,,1,0,4,1,40,40,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,2nd Serve In,Ad: Body,,,,,,UCLA,Oregon
"Set 2: 4-2, 0-0 Elise Wagle Serving",81,2,7,Elise Wagle,Jo-Yee Chan,0-0,4-2,1-0,,Deuce,Elise Wagle,Jo-Yee Chan,4014714.0,,,Elise Wagle,6,5 - 8,1,0,1st Serve In,Wide,Wide,,False,Near,-123.0,169.0,,,Crosscourt,Forehand,Net,,Down the Line,Backhand,Jo-Yee Chan,Error,False,,,,1,0,4,2,0,0,,,1st Serve In,Deuce: Wide,,,,,,,,Crosscourt,Forehand,Down the Line,Backhand,Error,UCLA,Oregon
"Set 2: 4-2, 15-0 Elise Wagle Serving",82,2,7,Elise Wagle,Jo-Yee Chan,15-0,4-2,1-0,,Ad,Elise Wagle,Jo-Yee Chan,4050253.0,,,Elise Wagle,1,1 - 4,1,0,1st Serve In,Wide,Wide,,True,Near,146.0,89.0,,,,,,,,,Elise Wagle,,False,,,,1,0,4,2,15,0,,,Ace,Ad: Wide,,,,,,,,,,,,,UCLA,Oregon
"Set 2: 4-2, 30-0 Elise Wagle Serving",83,2,7,Elise Wagle,Jo-Yee Chan,30-0,4-2,1-0,,Deuce,Elise Wagle,Jo-Yee Chan,4084839.0,,,Elise Wagle,2,1 - 4,0,1,2nd Serve In,T,T,T,False,Near,-8.0,4.0,-32.0,207.0,Crosscourt,Backhand,Wide Left,Wide Left,Crosscourt,Backhand,Jo-Yee Chan,Error,False,,,,1,0,4,2,30,0,,,2nd Serve In,Deuce: T,,,,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,UCLA,Oregon
